iter	Passed	Remaining
0	153	152890
1	153	76653
2	154	51227
3	154	38507
4	155	30877
5	155	25788
6	156	22166
7	156	19441
8	157	17317
9	157	15616
10	158	14226
11	158	13067
12	159	12087
13	159	11246
14	160	10518
15	160	9881
16	161	9319
17	161	8818
18	162	8370
19	162	7968
20	163	7603
21	163	7273
22	164	6970
23	164	6693
24	165	6438
25	165	6203
26	166	5984
27	166	5781
28	167	5592
29	167	5416
30	168	5252
31	168	5098
32	169	4954
33	169	4817
34	170	4689
35	170	4567
36	171	4452
37	171	4343
38	172	4239
39	172	4140
40	173	4047
41	173	3958
42	174	3872
43	174	3791
44	174	3713
45	175	3639
46	175	3567
47	176	3499
48	176	3433
49	177	3371
50	177	3310
51	178	3252
52	178	3196
53	179	3142
54	179	3090
55	180	3039
56	180	2991
57	181	2945
58	181	2900
59	182	2856
60	182	2813
61	183	2773
62	183	2735
63	184	2697
64	184	2660
65	185	2628
66	186	2593
67	186	2556
68	187	2523
69	187	2491
70	188	2459
71	188	2429
72	188	2399
73	189	2370
74	189	2342
75	190	2315
76	190	2288
77	191	2262
78	191	2236
79	192	2211
80	192	2187
81	193	2163
82	193	2140
83	194	2118
84	194	2094
85	195	2073
86	195	2050
87	195	2029
88	196	2009
89	196	1990
90	197	1971
91	197	1952
92	198	1933
93	198	1915
94	199	1898
95	199	1880
96	200	1863
97	200	1847
98	201	1830
99	201	1814
100	202	1799
101	202	1781
102	202	1766
103	203	1751
104	203	1737
105	204	1723
106	204	1708
107	205	1695
108	205	1681
109	206	1668
110	206	1655
111	207	1642
112	207	1630
113	208	1617
114	208	1605
115	208	1592
116	209	1581
117	209	1569
118	210	1557
119	210	1546
120	211	1535
121	211	1525
122	212	1512
123	212	1502
124	213	1491
125	213	1481
126	214	1471
127	214	1460
128	214	1450
129	215	1441
130	215	1431
131	216	1422
132	216	1413
133	217	1404
134	217	1395
135	218	1386
136	218	1378
137	219	1368
138	219	1360
139	220	1352
140	220	1343
141	221	1335
142	221	1327
143	222	1320
144	222	1312
145	223	1304
146	223	1296
147	224	1289
148	224	1282
149	224	1274
150	225	1267
151	225	1260
152	226	1253
153	226	1246
154	227	1240
155	227	1233
156	228	1226
157	228	1219
158	229	1213
159	229	1206
160	230	1200
161	230	1193
162	231	1187
163	231	1181
164	232	1175
165	232	1169
166	233	1163
167	233	1157
168	234	1151
169	234	1145
170	235	1140
171	235	1134
172	236	1128
173	236	1123
174	237	1117
175	237	1112
176	238	1107
177	238	1101
178	239	1096
179	239	1091
180	239	1085
181	240	1080
182	240	1075
183	241	1070
184	241	1065
185	242	1060
186	242	1055
187	243	1050
188	243	1046
189	244	1041
190	244	1036
191	245	1031
192	245	1027
193	246	1022
194	246	1018
195	247	1013
196	247	1009
197	248	1005
198	248	1000
199	249	996
200	249	992
201	250	987
202	250	983
203	251	979
204	251	975
205	251	971
206	252	967
207	252	963
208	253	959
209	254	955
210	254	951
211	255	947
212	255	944
213	256	940
214	256	936
215	257	932
216	257	929
217	257	925
218	258	921
219	258	918
220	259	914
221	259	910
222	260	907
223	260	903
224	261	900
225	261	896
226	262	893
227	262	889
228	263	886
229	263	882
230	264	879
231	264	875
232	265	872
233	265	869
234	266	866
235	266	862
236	267	859
237	267	856
238	268	853
239	268	850
240	268	847
241	269	843
242	269	840
243	270	837
244	270	834
245	271	831
246	271	828
247	272	825
248	272	822
249	273	819
250	273	816
251	274	813
252	274	810
253	275	808
254	275	805
255	276	802
256	276	799
257	277	797
258	277	794
259	278	791
260	278	788
261	279	786
262	279	783
263	280	780
264	280	778
265	281	775
266	281	772
267	282	770
268	282	768
269	283	765
270	283	763
271	284	760
272	284	758
273	285	755
274	285	753
275	286	750
276	286	748
277	287	745
278	287	743
279	288	740
280	288	738
281	289	736
282	289	733
283	290	731
284	290	728
285	290	726
286	291	724
287	291	721
288	292	719
289	292	717
290	293	714
291	293	712
292	294	710
293	294	707
294	295	705
295	295	703
296	296	701
297	296	699
298	297	696
299	297	694
300	298	692
301	298	690
302	299	688
303	299	686
304	300	683
305	300	681
306	301	679
307	301	677
308	302	675
309	302	673
310	303	671
311	303	669
312	304	667
313	304	665
314	304	663
315	305	661
316	305	659
317	306	657
