iter	Passed	Remaining
0	139	139371
1	140	69873
2	140	46703
3	141	35115
4	141	28162
5	142	23542
6	142	20243
7	143	17758
8	143	15825
9	144	14277
10	144	13011
11	145	11956
12	145	11062
13	146	10296
14	146	9639
15	147	9064
16	147	8552
17	148	8095
18	148	7686
19	149	7318
20	149	6985
21	150	6683
22	150	6407
23	151	6154
24	151	5920
25	152	5707
26	153	5519
27	153	5335
28	154	5162
29	154	5001
30	155	4850
31	155	4708
32	156	4574
33	156	4449
34	157	4331
35	157	4219
36	158	4113
37	158	4024
38	159	3930
39	160	3840
40	160	3754
41	161	3672
42	161	3594
43	161	3519
44	162	3447
45	162	3379
46	163	3314
47	163	3252
48	164	3195
49	165	3139
50	165	3084
51	166	3031
52	166	2980
53	167	2930
54	167	2883
55	168	2837
56	168	2792
57	169	2749
58	169	2707
59	170	2670
60	171	2633
61	171	2596
62	172	2559
63	172	2524
64	173	2490
65	173	2457
66	174	2424
67	174	2393
68	175	2362
69	175	2332
70	176	2303
71	177	2284
72	177	2258
73	178	2231
74	178	2205
75	179	2180
76	179	2155
77	180	2131
78	180	2107
79	181	2084
80	181	2061
81	182	2039
82	182	2016
83	183	1997
84	183	1977
85	184	1957
86	184	1938
87	185	1919
88	185	1900
89	186	1882
90	186	1864
91	187	1847
92	187	1830
93	188	1813
94	188	1797
95	189	1783
96	189	1768
97	190	1752
98	191	1739
99	191	1724
100	192	1711
101	193	1699
102	193	1686
103	194	1673
104	194	1659
105	195	1650
106	196	1638
107	196	1625
108	197	1613
109	197	1601
110	198	1589
111	199	1578
112	199	1566
113	200	1554
114	200	1543
115	201	1537
116	202	1526
117	202	1516
118	203	1506
119	203	1495
120	204	1485
121	204	1474
122	205	1464
123	206	1455
124	206	1445
125	207	1436
126	208	1432
127	208	1423
128	209	1414
129	210	1405
130	210	1396
131	211	1387
132	211	1379
133	212	1370
134	212	1362
135	213	1353
136	213	1347
137	214	1339
138	214	1331
139	215	1323
140	215	1315
141	216	1306
142	216	1299
143	217	1291
144	217	1284
145	218	1276
146	218	1269
147	219	1261
148	219	1254
149	220	1248
150	220	1241
151	221	1234
152	221	1227
153	222	1220
154	222	1214
155	223	1207
156	223	1201
157	224	1194
158	224	1188
159	225	1181
160	225	1174
161	226	1169
162	226	1163
163	227	1157
164	227	1151
165	228	1145
166	228	1139
167	228	1133
168	229	1128
169	229	1122
170	230	1117
171	230	1111
172	231	1106
173	231	1100
174	232	1095
175	233	1091
176	233	1086
177	234	1080
178	234	1075
179	235	1070
180	235	1065
181	235	1060
182	236	1055
183	236	1050
184	237	1045
185	237	1040
186	238	1036
187	238	1031
188	239	1027
189	239	1022
190	240	1018
191	240	1013
192	241	1009
193	241	1004
194	242	1000
195	242	995
196	243	991
197	243	987
198	244	982
199	244	978
200	245	974
201	245	970
202	246	966
203	246	962
204	247	958
205	247	954
206	248	950
207	248	946
208	249	943
209	249	939
210	250	935
211	250	931
212	251	928
213	251	924
214	252	921
215	252	917
216	253	914
217	253	910
218	254	906
219	254	903
220	255	899
221	255	896
222	256	892
223	256	889
224	257	885
225	257	883
226	258	879
227	258	876
228	259	873
229	259	870
230	260	867
231	261	864
232	261	860
233	262	857
234	262	854
235	263	851
236	263	848
237	264	845
238	264	842
239	265	839
240	265	836
241	266	833
